SAGDP2N Gross domestic product (GDP) by state 1/,,,,,
(Millions of current dollars) ,,,,,
Bureau of Economic Analysis ,,,,,
State or DC,,,,,
GeoFips,GeoName,LineCode,Description,2006,Code 
0,United States *,1,All industry total,13814609,0
0,United States *,2,  Private industries,12022614.1,0
0,United States *,3,"    Agriculture, forestry, fishing and hunting",125130.4,1
0,United States *,4,      Farms,96264,0
0,United States *,5,"      Forestry, fishing, and related activities",28866.4,0
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",273321.6,2
0,United States *,7,      Oil and gas extraction,178895.2,0
0,United States *,8,      Mining (except oil and gas),51813.3,0
0,United States *,9,      Support activities for mining,42613.2,0
0,United States *,10,    Utilities,226848.4,0
0,United States *,11,    Construction,697082.8,18
0,United States *,12,    Manufacturing,1793844.2,0
0,United States *,13,      Durable goods manufacturing,1004410,0
0,United States *,14,        Wood product manufacturing,31681.9,6
0,United States *,15,        Nonmetallic mineral product manufacturing,50504.3,11
0,United States *,16,        Primary metal manufacturing,62690.1,12
0,United States *,17,        Fabricated metal product manufacturing,126791.6,12
0,United States *,18,        Machinery manufacturing,121895.6,13
0,United States *,19,        Computer and electronic product manufacturing,224098.1,14
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",51433.2,14
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",134062.6,15
0,United States *,22,        Other transportation equipment manufacturing,96266.5,15
0,United States *,23,        Furniture and related product manufacturing,34533.3,16
0,United States *,24,        Miscellaneous manufacturing,70452.7,16
0,United States *,25,      Nondurable goods manufacturing,789434.2,0
0,United States *,26,        Food and beverage and tobacco product manufacturing,193853.5,3
0,United States *,27,        Textile mills and textile product mills,20079.5,4
0,United States *,28,"        Apparel, leather, and allied product manufacturing",12860.9,4
0,United States *,29,        Paper manufacturing,57990,6
0,United States *,30,        Printing and related support activities,46826.7,6
0,United States *,31,        Petroleum and coal products manufacturing,139987.9,2
0,United States *,32,        Chemical manufacturing,253833.6,9
0,United States *,33,        Plastics and rubber products manufacturing,64002.2,10
0,United States *,34,    Wholesale trade,811473.5,19
0,United States *,35,    Retail trade,869941.1,19
0,United States *,36,    Transportation and warehousing,410382.4,0
0,United States *,37,      Air transportation,68041,23
0,United States *,38,      Rail transportation,32115.3,23
0,United States *,39,      Water transportation,12715.1,23
0,United States *,40,      Truck transportation,125497.6,23
0,United States *,41,      Transit and ground passenger transportation,25877.7,23
0,United States *,42,      Pipeline transportation,10732.2,23
0,United States *,43,      Other transportation and support activities,94605.4,23
0,United States *,44,      Warehousing and storage,40798.2,34
0,United States *,45,    Information,651994.6,27
0,United States *,46,      Publishing industries (except Internet),162231.7,0
0,United States *,47,      Motion picture and sound recording industries,67527.7,0
0,United States *,48,      Broadcasting (except Internet) and telecommunications,340297.9,0
0,United States *,49,"      Data processing, hosting, and other information services",81937.3,0
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",2743923.6,0
0,United States *,51,      Finance and insurance,1034191.6,28
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",418894.7,0
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",221576.5,0
0,United States *,54,        Insurance carriers and related activities,372531.5,0
0,United States *,55,"        Funds, trusts, and other financial vehicles",21188.9,0
0,United States *,56,      Real estate and rental and leasing,1709732,29
0,United States *,57,        Real estate,1541722,0
0,United States *,58,        Rental and leasing services and lessors of nonfinancial intangible assets,168009.9,0
0,United States *,59,    Professional and business services,1546639.8,34
0,United States *,60,"      Professional, scientific, and technical services",917072.2,0
0,United States *,61,        Legal services,204563.8,0
0,United States *,62,        Computer systems design and related services,148966.4,0
0,United States *,63,"        Miscellaneous professional, scientific, and technical services",563542,0
0,United States *,64,      Management of companies and enterprises,230477.5,0
0,United States *,65,      Administrative and support and waste management and remediation services,399090.1,0
0,United States *,66,        Administrative and support services,367412.8,0
0,United States *,67,        Waste management and remediation services,31677.3,0
0,United States *,68,"    Educational services, health care, and social assistance",1035449.6,0
0,United States *,69,      Educational services,142922.8,32
0,United States *,70,      Health care and social assistance,892526.9,33
0,United States *,71,        Ambulatory health care services,423146.8,0
0,United States *,72,        Hospitals,294767.9,0
0,United States *,73,        Nursing and residential care facilities,97713.6,0
0,United States *,74,        Social assistance,76898.6,0
0,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",511536.8,0
0,United States *,76,"      Arts, entertainment, and recreation",130479.1,34
0,United States *,77,"        Performing arts, spectator sports, museums, and related activities",73500.3,0
0,United States *,78,"        Amusement, gambling, and recreation industries",56978.7,0
0,United States *,79,      Accommodation and food services,381057.7,22
0,United States *,80,        Accommodation,115982.4,0
0,United States *,81,        Food services and drinking places,265075.3,0
0,United States *,82,    Other services (except government and government enterprises),325045.3,34
0,United States *,83,  Government and government enterprises,1791997.4,0
0,United States *,84,    Federal civilian,321574.3,0
0,United States *,85,    Military,253974,0
0,United States *,86,    State and local,1216449,0
0,United States *,,Addenda:,,0
0,United States *,87,Natural resources and mining,398452,0
0,United States *,88,Trade,1681414.6,0
0,United States *,89,Transportation and utilities,637230.7,0
0,United States *,91,Private goods-producing industries 2/,2889379,0
0,United States *,92,Private services-providing industries 3/,9133235,0
0,United States *,100,"All industry total, overseas activity",82665.9,0
0,United States *,101,"Government and government enterprises, overseas activity",82665.9,0
0,United States *,102,"Federal civilian, overseas activity",3501,0
0,United States *,103,"Military, overseas activity",79164.9,0
1000,Alabama,1,All industry total,163853.6,0
1000,Alabama,2,  Private industries,137644.7,0
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",2099.7,1
1000,Alabama,4,      Farms,1519,0
1000,Alabama,5,"      Forestry, fishing, and related activities",580.7,0
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",2895.3,2
1000,Alabama,7,      Oil and gas extraction,1665.4,0
1000,Alabama,8,      Mining (except oil and gas),1111.1,0
1000,Alabama,9,      Support activities for mining,118.8,0
1000,Alabama,10,    Utilities,4378.8,0
1000,Alabama,11,    Construction,8469.6,18
1000,Alabama,12,    Manufacturing,29513.2,0
1000,Alabama,13,      Durable goods manufacturing,18236.8,0
1000,Alabama,14,        Wood product manufacturing,1320.4,6
1000,Alabama,15,        Nonmetallic mineral product manufacturing,911.8,11
1000,Alabama,16,        Primary metal manufacturing,2823.8,12
1000,Alabama,17,        Fabricated metal product manufacturing,2209,12
1000,Alabama,18,        Machinery manufacturing,1086,13
1000,Alabama,19,        Computer and electronic product manufacturing,1646.2,14
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",753.7,14
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3935.5,15
1000,Alabama,22,        Other transportation equipment manufacturing,2050.1,15
