SAGDP2N Gross domestic product (GDP) by state 1/,,,,,
(Millions of current dollars) ,,,,,
Bureau of Economic Analysis ,,,,,
State or DC,,,,,
GeoFips,GeoName,LineCode,Description,2003,Code 
0,United States *,1,All industry total,11458246,0
0,United States *,2,  Private industries,9905898.8,0
0,United States *,3,"    Agriculture, forestry, fishing and hunting",113953.5,23
0,United States *,4,      Farms,91105,0
0,United States *,5,"      Forestry, fishing, and related activities",22848.5,0
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",138999.8,24
0,United States *,7,      Oil and gas extraction,92897.9,0
0,United States *,8,      Mining (except oil and gas),29245.3,0
0,United States *,9,      Support activities for mining,16856.7,0
0,United States *,10,    Utilities,184029.2,0
0,United States *,11,    Construction,525240.4,13
0,United States *,12,    Manufacturing,1524213.1,0
0,United States *,13,      Durable goods manufacturing,863190.5,0
0,United States *,14,        Wood product manufacturing,28721.5,3
0,United States *,15,        Nonmetallic mineral product manufacturing,42013.8,7
0,United States *,16,        Primary metal manufacturing,39271,8
0,United States *,17,        Fabricated metal product manufacturing,108486.7,8
0,United States *,18,        Machinery manufacturing,97396.3,9
0,United States *,19,        Computer and electronic product manufacturing,193483.6,10
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",45550.1,10
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",143151.4,11
0,United States *,22,        Other transportation equipment manufacturing,72565.7,11
0,United States *,23,        Furniture and related product manufacturing,30384.5,12
0,United States *,24,        Miscellaneous manufacturing,62165.7,12
0,United States *,25,      Nondurable goods manufacturing,661022.6,0
0,United States *,26,        Food and beverage and tobacco product manufacturing,178948.1,1
0,United States *,27,        Textile mills and textile product mills,18712.7,2
0,United States *,28,"        Apparel, leather, and allied product manufacturing",15487.8,2
0,United States *,29,        Paper manufacturing,51028.2,3
0,United States *,30,        Printing and related support activities,42188.5,3
0,United States *,31,        Petroleum and coal products manufacturing,81258.8,4
0,United States *,32,        Chemical manufacturing,210668.3,5
0,United States *,33,        Plastics and rubber products manufacturing,62730.1,6
0,United States *,34,    Wholesale trade,641449.9,14
0,United States *,35,    Retail trade,769609.8,14
0,United States *,36,    Transportation and warehousing,321443.9,0
0,United States *,37,      Air transportation,54619.8,15
0,United States *,38,      Rail transportation,23445.9,15
0,United States *,39,      Water transportation,8225.2,15
0,United States *,40,      Truck transportation,101404.5,15
0,United States *,41,      Transit and ground passenger transportation,21413,15
0,United States *,42,      Pipeline transportation,10330.3,15
0,United States *,43,      Other transportation and support activities,73270.2,15
0,United States *,44,      Warehousing and storage,28735,22
0,United States *,45,    Information,564861.2,16
