SAGDP2N Gross domestic product (GDP) by state 1/,,,,,
(Millions of current dollars) ,,,,,
Bureau of Economic Analysis ,,,,,
State or DC,,,,,
GeoFips,GeoName,LineCode,Description,2001,Code 
0,United States *,1,All industry total,10581822,0
0,United States *,2,  Private industries,9188887.4,0
0,United States *,3,"    Agriculture, forestry, fishing and hunting",99835.6,1
0,United States *,4,      Farms,78093,0
0,United States *,5,"      Forestry, fishing, and related activities",21742.6,0
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",123924.3,2
0,United States *,7,      Oil and gas extraction,76128.9,0
0,United States *,8,      Mining (except oil and gas),28059.1,0
0,United States *,9,      Support activities for mining,19736.3,0
0,United States *,10,    Utilities,181332.5,0
0,United States *,11,    Construction,486484.5,18
0,United States *,12,    Manufacturing,1473849.7,0
0,United States *,13,      Durable goods manufacturing,833390.2,0
0,United States *,14,        Wood product manufacturing,27235.5,6
0,United States *,15,        Nonmetallic mineral product manufacturing,41293.8,11
0,United States *,16,        Primary metal manufacturing,40272,12
0,United States *,17,        Fabricated metal product manufacturing,110912.1,12
0,United States *,18,        Machinery manufacturing,105362,13
0,United States *,19,        Computer and electronic product manufacturing,173500.9,14
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",44279.1,14
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",124964.2,15
0,United States *,22,        Other transportation equipment manufacturing,76872.7,15
0,United States *,23,        Furniture and related product manufacturing,31201.6,16
0,United States *,24,        Miscellaneous manufacturing,57496.4,16
0,United States *,25,      Nondurable goods manufacturing,640459.5,0
0,United States *,26,        Food and beverage and tobacco product manufacturing,174192.3,3
0,United States *,27,        Textile mills and textile product mills,24882.7,4
0,United States *,28,"        Apparel, leather, and allied product manufacturing",19461.8,4
0,United States *,29,        Paper manufacturing,53502.5,6
0,United States *,30,        Printing and related support activities,42721.4,6
0,United States *,31,        Petroleum and coal products manufacturing,68344.7,2
0,United States *,32,        Chemical manufacturing,193820,9
0,United States *,33,        Plastics and rubber products manufacturing,63534.2,10
0,United States *,34,    Wholesale trade,613751.8,19
0,United States *,35,    Retail trade,709491.6,19
0,United States *,36,    Transportation and warehousing,308058.1,0
0,United States *,37,      Air transportation,49206.8,23
0,United States *,38,      Rail transportation,23334.7,23
0,United States *,39,      Water transportation,8256,23
0,United States *,40,      Truck transportation,97232.7,23
0,United States *,41,      Transit and ground passenger transportation,19039.1,23
0,United States *,42,      Pipeline transportation,16074.1,23
0,United States *,43,      Other transportation and support activities,69126.1,23
0,United States *,44,      Warehousing and storage,25788.6,34
0,United States *,45,    Information,502386.2,27
0,United States *,46,      Publishing industries (except Internet),116131.7,0
0,United States *,47,      Motion picture and sound recording industries,65306.9,0
0,United States *,48,      Broadcasting (except Internet) and telecommunications,281430.1,0
0,United States *,49,"      Data processing, hosting, and other information services",39517.5,0
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",2128100.6,0
0,United States *,51,      Finance and insurance,803102.7,28
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",343229.2,0
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",182632.3,0
0,United States *,54,        Insurance carriers and related activities,262034.3,0
0,United States *,55,"        Funds, trusts, and other financial vehicles",15206.9,0
0,United States *,56,      Real estate and rental and leasing,1324997.9,29
0,United States *,57,        Real estate,1176613.4,0
0,United States *,58,        Rental and leasing services and lessors of nonfinancial intangible assets,148384.5,0
0,United States *,59,    Professional and business services,1155475.4,34
0,United States *,60,"      Professional, scientific, and technical services",686775.6,0
0,United States *,61,        Legal services,140666.6,0
0,United States *,62,        Computer systems design and related services,118176.8,0
0,United States *,63,"        Miscellaneous professional, scientific, and technical services",427932.1,0
0,United States *,64,      Management of companies and enterprises,173619.6,0
0,United States *,65,      Administrative and support and waste management and remediation services,295080.3,0
0,United States *,66,        Administrative and support services,266608.8,0
0,United States *,67,        Waste management and remediation services,28471.5,0
0,United States *,68,"    Educational services, health care, and social assistance",749894.9,0
0,United States *,69,      Educational services,101705.4,32
0,United States *,70,      Health care and social assistance,648189.6,33
0,United States *,71,        Ambulatory health care services,310977.1,0
0,United States *,72,        Hospitals,206873.8,0
0,United States *,73,        Nursing and residential care facilities,74506.5,0
0,United States *,74,        Social assistance,55832.3,0
0,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",390727.7,0
0,United States *,76,"      Arts, entertainment, and recreation",96728.4,34
0,United States *,77,"        Performing arts, spectator sports, museums, and related activities",51823.2,0
0,United States *,78,"        Amusement, gambling, and recreation industries",44905.2,0
0,United States *,79,      Accommodation and food services,293999.3,22
0,United States *,80,        Accommodation,90079.9,0
0,United States *,81,        Food services and drinking places,203919.4,0
0,United States *,82,    Other services (except government and government enterprises),265574.4,34
0,United States *,83,  Government and government enterprises,1392934,0
0,United States *,84,    Federal civilian,250646.5,0
0,United States *,85,    Military,179772.6,0
0,United States *,86,    State and local,962514.6,0
0,United States *,,Addenda:,,0
0,United States *,87,Natural resources and mining,223760,0
0,United States *,88,Trade,1323243.4,0
0,United States *,89,Transportation and utilities,489390.6,0
0,United States *,91,Private goods-producing industries 2/,2184094.2,0
0,United States *,92,Private services-providing industries 3/,7004793.2,0
0,United States *,100,"All industry total, overseas activity",66282.6,0
0,United States *,101,"Government and government enterprises, overseas activity",66282.6,0
0,United States *,102,"Federal civilian, overseas activity",3324,0
0,United States *,103,"Military, overseas activity",62958.6,0
1000,Alabama,1,All industry total,122449.3,0
1000,Alabama,2,  Private industries,102670.7,0
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",1988.8,1
1000,Alabama,4,      Farms,1594.9,0
1000,Alabama,5,"      Forestry, fishing, and related activities",393.9,0
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",1379.7,2
1000,Alabama,7,      Oil and gas extraction,514.6,0
1000,Alabama,8,      Mining (except oil and gas),781.4,0
1000,Alabama,9,      Support activities for mining,83.7,0
1000,Alabama,10,    Utilities,3572.7,0
1000,Alabama,11,    Construction,6200,18
1000,Alabama,12,    Manufacturing,21192.2,0
1000,Alabama,13,      Durable goods manufacturing,11255.1,0
1000,Alabama,14,        Wood product manufacturing,984,6
1000,Alabama,15,        Nonmetallic mineral product manufacturing,689.6,11
1000,Alabama,16,        Primary metal manufacturing,1254.1,12
1000,Alabama,17,        Fabricated metal product manufacturing,1614.6,12
1000,Alabama,18,        Machinery manufacturing,848.3,13
1000,Alabama,19,        Computer and electronic product manufacturing,997,14
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",634.7,14
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",1976.6,15
1000,Alabama,22,        Other transportation equipment manufacturing,1189.7,15
1000,Alabama,23,        Furniture and related product manufacturing,685.4,16
1000,Alabama,24,        Miscellaneous manufacturing,381,16
1000,Alabama,25,      Nondurable goods manufacturing,9937.1,0
1000,Alabama,26,        Food and beverage and tobacco product manufacturing,1791.7,3
1000,Alabama,27,        Textile mills and textile product mills,1496.7,4
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",695,4
1000,Alabama,29,        Paper manufacturing,2475.5,6
1000,Alabama,30,        Printing and related support activities,338.6,6
1000,Alabama,31,        Petroleum and coal products manufacturing,367.8,2
1000,Alabama,32,        Chemical manufacturing,1719.7,9
1000,Alabama,33,        Plastics and rubber products manufacturing,1052,10
1000,Alabama,34,    Wholesale trade,7250.2,19
1000,Alabama,35,    Retail trade,9435.5,19
1000,Alabama,36,    Transportation and warehousing,3233,0
1000,Alabama,37,      Air transportation,53,23
1000,Alabama,38,      Rail transportation,373.8,23
1000,Alabama,39,      Water transportation,57.6,23
1000,Alabama,40,      Truck transportation,1722.1,23
1000,Alabama,41,      Transit and ground passenger transportation,57.4,23
1000,Alabama,42,      Pipeline transportation,64.4,23
1000,Alabama,43,      Other transportation and support activities,644.3,23
1000,Alabama,44,      Warehousing and storage,260.3,34
1000,Alabama,45,    Information,4215.3,27
1000,Alabama,46,      Publishing industries (except Internet),500,0
1000,Alabama,47,      Motion picture and sound recording industries,107,0
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,3433.5,0
1000,Alabama,49,"      Data processing, hosting, and other information services",174.8,0
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",19747.7,0
1000,Alabama,51,      Finance and insurance,6914.1,28
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",4129.4,0
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",459.3,0
1000,Alabama,54,        Insurance carriers and related activities,2304.6,0
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",20.7,0
1000,Alabama,56,      Real estate and rental and leasing,12833.6,29
1000,Alabama,57,        Real estate,11495.3,0
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,1338.3,0
1000,Alabama,59,    Professional and business services,9459.5,34
1000,Alabama,60,"      Professional, scientific, and technical services",6189.6,0
1000,Alabama,61,        Legal services,1436.8,0
1000,Alabama,62,        Computer systems design and related services,1069.5,0
1000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",3683.4,0
1000,Alabama,64,      Management of companies and enterprises,681.6,0
1000,Alabama,65,      Administrative and support and waste management and remediation services,2588.4,0
1000,Alabama,66,        Administrative and support services,2376.5,0
1000,Alabama,67,        Waste management and remediation services,211.8,0
1000,Alabama,68,"    Educational services, health care, and social assistance",8394.9,0
1000,Alabama,69,      Educational services,586.2,32
1000,Alabama,70,      Health care and social assistance,7808.8,33
1000,Alabama,71,        Ambulatory health care services,4527.3,0
1000,Alabama,72,        Hospitals,1980.4,0
1000,Alabama,73,        Nursing and residential care facilities,821.1,0
1000,Alabama,74,        Social assistance,479.9,0
1000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",3271,0
1000,Alabama,76,"      Arts, entertainment, and recreation",437.3,34
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",180.9,0
1000,Alabama,78,"        Amusement, gambling, and recreation industries",256.4,0
1000,Alabama,79,      Accommodation and food services,2833.7,22
1000,Alabama,80,        Accommodation,486.5,0
