SAGDP2N Gross domestic product (GDP) by state 1/,,,,,
(Millions of current dollars) ,,,,,
Bureau of Economic Analysis ,,,,,
State or DC,,,,,
GeoFips,GeoName,LineCode,Description,2000,Code 
0,United States *,1,All industry total,10252347,0
0,United States *,2,  Private industries,8929320.4,0
0,United States *,3,"    Agriculture, forestry, fishing and hunting",98311.7,1
0,United States *,4,      Farms,76043,0
0,United States *,5,"      Forestry, fishing, and related activities",22268.7,0
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",110581.3,2
0,United States *,7,      Oil and gas extraction,68240.3,0
0,United States *,8,      Mining (except oil and gas),28514.3,0
0,United States *,9,      Support activities for mining,13826.7,0
0,United States *,10,    Utilities,180122.4,0
0,United States *,11,    Construction,461340.8,18
0,United States *,12,    Manufacturing,1550194.3,0
0,United States *,13,      Durable goods manufacturing,924785.6,0
0,United States *,14,        Wood product manufacturing,28307.3,6
0,United States *,15,        Nonmetallic mineral product manufacturing,42620,11
0,United States *,16,        Primary metal manufacturing,47035.7,12
0,United States *,17,        Fabricated metal product manufacturing,121303.5,12
0,United States *,18,        Machinery manufacturing,113079.4,13
0,United States *,19,        Computer and electronic product manufacturing,225380,14
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",45669.9,14
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",137533.6,15
0,United States *,22,        Other transportation equipment manufacturing,71111.7,15
0,United States *,23,        Furniture and related product manufacturing,33519.1,16
0,United States *,24,        Miscellaneous manufacturing,59225.3,16
0,United States *,25,      Nondurable goods manufacturing,625408.8,0
0,United States *,26,        Food and beverage and tobacco product manufacturing,163231.1,3
0,United States *,27,        Textile mills and textile product mills,27984.3,4
0,United States *,28,"        Apparel, leather, and allied product manufacturing",22155.9,4
0,United States *,29,        Paper manufacturing,62189.7,6
0,United States *,30,        Printing and related support activities,43682.9,6
0,United States *,31,        Petroleum and coal products manufacturing,52706.2,2
0,United States *,32,        Chemical manufacturing,187916.2,9
0,United States *,33,        Plastics and rubber products manufacturing,65542.5,10
0,United States *,34,    Wholesale trade,622623.7,19
0,United States *,35,    Retail trade,685504.3,19
0,United States *,36,    Transportation and warehousing,307828.9,0
0,United States *,37,      Air transportation,58102.8,23
0,United States *,38,      Rail transportation,23293.8,23
0,United States *,39,      Water transportation,8048.3,23
0,United States *,40,      Truck transportation,98045.6,23
0,United States *,41,      Transit and ground passenger transportation,18455.4,23
0,United States *,42,      Pipeline transportation,9363,23
0,United States *,43,      Other transportation and support activities,65855.8,23
0,United States *,44,      Warehousing and storage,26664.3,34
0,United States *,45,    Information,471299,27
0,United States *,46,      Publishing industries (except Internet),115898.3,0
0,United States *,47,      Motion picture and sound recording industries,54162.8,0
0,United States *,48,      Broadcasting (except Internet) and telecommunications,276987.1,0
0,United States *,49,"      Data processing, hosting, and other information services",24250.8,0
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",1974728.5,0
0,United States *,51,      Finance and insurance,743055.5,28
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",320329.5,0
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",132964.9,0
0,United States *,54,        Insurance carriers and related activities,274516.9,0
