SAGDP2N Gross domestic product (GDP) by state 1/,,,,,
(Millions of current dollars) ,,,,,
Bureau of Economic Analysis ,,,,,
State or DC,,,,,
GeoFips,GeoName,LineCode,Description,2007,Code 
0,United States *,1,All industry total,14451860,0
0,United States *,2,  Private industries,12564794.5,0
0,United States *,3,"    Agriculture, forestry, fishing and hunting",144062.3,23
0,United States *,4,      Farms,115665,0
0,United States *,5,"      Forestry, fishing, and related activities",28397.3,0
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",313962.9,24
0,United States *,7,      Oil and gas extraction,205883.1,0
0,United States *,8,      Mining (except oil and gas),57968.2,0
0,United States *,9,      Support activities for mining,50111.6,0
0,United States *,10,    Utilities,231907,0
0,United States *,11,    Construction,715327.2,13
0,United States *,12,    Manufacturing,1844745,0
0,United States *,13,      Durable goods manufacturing,1030624.4,0
0,United States *,14,        Wood product manufacturing,29079.4,3
0,United States *,15,        Nonmetallic mineral product manufacturing,50247.3,7
0,United States *,16,        Primary metal manufacturing,64534.5,8
0,United States *,17,        Fabricated metal product manufacturing,134794.3,8
0,United States *,18,        Machinery manufacturing,129533.7,9
0,United States *,19,        Computer and electronic product manufacturing,228324.3,10
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",50274.9,10
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",124937.4,11
0,United States *,22,        Other transportation equipment manufacturing,114199.8,11
0,United States *,23,        Furniture and related product manufacturing,32502.7,12
0,United States *,24,        Miscellaneous manufacturing,72196.2,12
0,United States *,25,      Nondurable goods manufacturing,814120.6,0
0,United States *,26,        Food and beverage and tobacco product manufacturing,194066.8,1
0,United States *,27,        Textile mills and textile product mills,19290.9,2
0,United States *,28,"        Apparel, leather, and allied product manufacturing",11847.8,2
0,United States *,29,        Paper manufacturing,55722.2,3
0,United States *,30,        Printing and related support activities,47693.2,3
0,United States *,31,        Petroleum and coal products manufacturing,154505.3,4
0,United States *,32,        Chemical manufacturing,267723.2,5
0,United States *,33,        Plastics and rubber products manufacturing,63271.2,6
0,United States *,34,    Wholesale trade,857827,14
0,United States *,35,    Retail trade,869218.5,14
0,United States *,36,    Transportation and warehousing,413903.7,0
0,United States *,37,      Air transportation,73200.4,15
0,United States *,38,      Rail transportation,32372,15
0,United States *,39,      Water transportation,14218.3,15
0,United States *,40,      Truck transportation,123651.1,15
0,United States *,41,      Transit and ground passenger transportation,26272.4,15
0,United States *,42,      Pipeline transportation,13011.7,15
0,United States *,43,      Other transportation and support activities,89911.8,15
0,United States *,44,      Warehousing and storage,41266.1,22
0,United States *,45,    Information,706937.4,16
0,United States *,46,      Publishing industries (except Internet),191672.8,0
0,United States *,47,      Motion picture and sound recording industries,76466.2,0
0,United States *,48,      Broadcasting (except Internet) and telecommunications,373634,0
0,United States *,49,"      Data processing, hosting, and other information services",65164.3,0
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",2848272.3,0
0,United States *,51,      Finance and insurance,1030549.1,17
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",404212.3,0
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",198205.1,0
0,United States *,54,        Insurance carriers and related activities,405711.9,0
0,United States *,55,"        Funds, trusts, and other financial vehicles",22419.8,0
0,United States *,56,      Real estate and rental and leasing,1817723.3,18
0,United States *,57,        Real estate,1653624.2,0
0,United States *,58,        Rental and leasing services and lessors of nonfinancial intangible assets,164099.1,0
0,United States *,59,    Professional and business services,1666712.4,0
0,United States *,60,"      Professional, scientific, and technical services",984929,22
0,United States *,61,        Legal services,217435.1,0
0,United States *,62,        Computer systems design and related services,167080,0
0,United States *,63,"        Miscellaneous professional, scientific, and technical services",600413.8,0
0,United States *,64,      Management of companies and enterprises,251156.9,22
0,United States *,65,      Administrative and support and waste management and remediation services,430626.5,22
0,United States *,66,        Administrative and support services,395157.9,0
0,United States *,67,        Waste management and remediation services,35468.6,0
0,United States *,68,"    Educational services, health care, and social assistance",1087931.7,0
0,United States *,69,      Educational services,151528.4,19
0,United States *,70,      Health care and social assistance,936403.2,20
0,United States *,71,        Ambulatory health care services,442346.5,0
0,United States *,72,        Hospitals,310765.5,0
0,United States *,73,        Nursing and residential care facilities,102480.8,0
0,United States *,74,        Social assistance,80810.4,0
0,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",533504.1,0
0,United States *,76,"      Arts, entertainment, and recreation",137411.2,22
0,United States *,77,"        Performing arts, spectator sports, museums, and related activities",75572,0
0,United States *,78,"        Amusement, gambling, and recreation industries",61839.1,0
0,United States *,79,      Accommodation and food services,396092.9,21
0,United States *,80,        Accommodation,124472.8,0
0,United States *,81,        Food services and drinking places,271620.1,0
0,United States *,82,    Other services (except government and government enterprises),330483,22
0,United States *,83,  Government and government enterprises,1887064.2,0
0,United States *,84,    Federal civilian,334853.2,0
