SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/,,,,,,,
(number of jobs) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2002,2003,2004,2005
0,United States,,Employment by place of work,,,,
0,United States,10,Total employment (number of jobs),165095100,165921500,168839700,172338400
0,United States,,By type,,,,
0,United States,20,  Wage and salary employment,136301000,135967000,137404000,139341000
0,United States,40,  Proprietors employment,28794100,29954500,31435700,32997400
0,United States,50,    Farm proprietors employment,2032000,1953000,1894000,1875000
0,United States,60,    Nonfarm proprietors employment 2/,26762100,28001500,29541700,31122400
0,United States,,By industry,,,,
0,United States,70,  Farm employment,2904000,2838000,2719000,2656000
0,United States,80,  Nonfarm employment,162191100,163083500,166120700,169682400
0,United States,90,    Private nonfarm employment,138616100,139408500,142403700,145860400
0,United States,100,"      Forestry, fishing, and related activities",842700,785300,811500,829400
0,United States,101,        Forestry and logging,144600,133800,140100,147300
0,United States,102,"        Fishing, hunting and trapping",121800,97300,109300,108500
0,United States,103,        Support activities for agriculture and forestry,576300,554200,562100,573600
0,United States,200,"      Mining, quarrying, and oil and gas extraction",748000,800200,779400,833600
0,United States,201,        Oil and gas extraction,325300,371200,336800,361200
0,United States,202,        Mining (except oil and gas),231700,227200,228600,232200
0,United States,203,        Support activities for mining,191000,201800,214000,240200
0,United States,300,      Utilities,599600,583200,575400,569900
0,United States,400,      Construction,9668800,9900300,10337600,10965800
0,United States,401,        Construction of buildings,2302500,2222800,2314200,2488500
0,United States,402,        Heavy and civil engineering construction,1077600,1058100,1066100,1111800
0,United States,403,        Specialty trade contractors,6288700,6619400,6957300,7365500
0,United States,500,      Manufacturing,15745700,14975000,14790900,14724200
0,United States,510,        Durable goods manufacturing,9772100,9248200,9206000,9259800
0,United States,511,          Wood product manufacturing,602200,589000,610200,619600
0,United States,512,          Nonmetallic mineral product manufacturing,534100,511800,514600,519200
0,United States,513,          Primary metal manufacturing,513500,480700,474300,472000
0,United States,514,          Fabricated metal product manufacturing,1595600,1518800,1536200,1570400
0,United States,515,          Machinery manufacturing,1258600,1193900,1179600,1200100
0,United States,516,          Computer and electronic product manufacturing,1514100,1364500,1330100,1322900
0,United States,517,"          Electrical equipment, appliance, and component manufacturing",511400,470200,456800,449600
0,United States,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",1151000,1112300,1112400,1096600
0,United States,519,          Other transportation equipment manufacturing,691600,655700,663600,683700
0,United States,521,          Furniture and related product manufacturing,634700,606700,606700,596400
0,United States,522,          Miscellaneous manufacturing,765300,744600,721500,729300
