iso_o,year,fish_prod
California,2002,108136
Colorado,2002,0
Connecticut,2002,27779
Delaware,2002,6067
Florida,2002,177846
Georgia,2002,15068
Hawaii,2002,52113
Idaho,2002,0
Illinois,2002,0
Indiana,2002,0
Iowa,2002,0
Kansas,2002,0
Kentucky,2002,0
Louisiana,2002,305534
Maine,2002,279396
Maryland,2002,49013
Massachusetts,2002,297312
Michigan,2002,7362
Minnesota,2002,180
Mississippi,2002,46093
Missouri,2002,0
Montana,2002,0
Nebraska,2002,0
Nevada,2002,0
NewHampshire,2002,16691
NewJersey,2002,112733
NewMexico,2002,0
NewYork,2002,51415
NorthCarolina,2002,98723
NorthDakota,2002,0
Ohio,2002,3093
Oklahoma,2002,0
Oregon,2002,68431
Pennsylvania,2002,37
RhodeIsland,2002,64250
SouthCarolina,2002,20760
SouthDakota,2002,0
Tennessee,2002,0
Texas,2002,167020
Utah,2002,0
Vermont,2002,0
Virginia,2002,123307
Washington,2002,142521
WestVirginia,2002,0
Wisconsin,2002,4791
Wyoming,2002,0
Alabama,2003,39521
Alaska,2003,989781
Arizona,2003,0
Arkansas,2003,0
California,2003,136886
Colorado,2003,0
Connecticut,2003,29825
Delaware,2003,5204
Florida,2003,171813
Georgia,2003,13106
Hawaii,2003,52433
Idaho,2003,0
Illinois,2003,0
Indiana,2003,0
Iowa,2003,0
Kansas,2003,0
Kentucky,2003,0
Louisiana,2003,294011
Maine,2003,287143
Maryland,2003,49038
Massachusetts,2003,292602
Michigan,2003,5702
Minnesota,2003,228
Mississippi,2003,45508
Missouri,2003,0
Montana,2003,0
Nebraska,2003,0
Nevada,2003,0
NewHampshire,2003,15127
NewJersey,2003,120668
NewMexico,2003,0
NewYork,2003,51656
NorthCarolina,2003,82960
NorthDakota,2003,0
Ohio,2003,3037
Oklahoma,2003,0
Oregon,2003,85549
Pennsylvania,2003,39
RhodeIsland,2003,66029
SouthCarolina,2003,20791
SouthDakota,2003,0
Tennessee,2003,0
Texas,2003,168324
Utah,2003,0
Vermont,2003,0
Virginia,2003,130664
Washington,2003,170158
WestVirginia,2003,0
Wisconsin,2003,4134
Wyoming,2003,0
Alabama,2004,37036
Alaska,2004,1202464
Arizona,2004,0
Arkansas,2004,0
California,2004,141042
Colorado,2004,0
Connecticut,2004,33399
Delaware,2004,5419
Florida,2004,194197
Georgia,2004,12013
Hawaii,2004,57395
Idaho,2004,0
Illinois,2004,0
Indiana,2004,0
Iowa,2004,0
Kansas,2004,0
Kentucky,2004,0
Louisiana,2004,275014
Maine,2004,367093
Maryland,2004,49301
Massachusetts,2004,327473
Michigan,2004,6161
Minnesota,2004,188
Mississippi,2004,43791
Missouri,2004,0
Montana,2004,0
Nebraska,2004,0
Nevada,2004,0
NewHampshire,2004,8834
NewJersey,2004,145940
NewMexico,2004,0
NewYork,2004,46902
NorthCarolina,2004,77142
NorthDakota,2004,0
Ohio,2004,2851
Oklahoma,2004,0
Oregon,2004,101098
Pennsylvania,2004,66
RhodeIsland,2004,76329
SouthCarolina,2004,18542
SouthDakota,2004,0
Tennessee,2004,0
Texas,2004,166208
Utah,2004,0
Vermont,2004,0
Virginia,2004,160441
Washington,2004,178071
WestVirginia,2004,0
Wisconsin,2004,3133
Wyoming,2004,0
Alabama,2005,39209
Alaska,2005,1287887
Arizona,2005,0
Arkansas,2005,0
California,2005,115531
Colorado,2005,0
Connecticut,2005,37570
Delaware,2005,6115
Florida,2005,164205
Georgia,2005,13414
Hawaii,2005,70497
Idaho,2005,0
Illinois,2005,0
Indiana,2005,0
Iowa,2005,0
Kansas,2005,0
Kentucky,2005,0
Louisiana,2005,253037
Maine,2005,391903
Maryland,2005,63670
Massachusetts,2005,425426
Michigan,2005,6184
Minnesota,2005,186
Mississippi,2005,23451
Missouri,2005,0
Montana,2005,0
Nebraska,2005,0
Nevada,2005,0
NewHampshire,2005,22188
NewJersey,2005,158982
NewMexico,2005,0
NewYork,2005,56462
NorthCarolina,2005,59824
NorthDakota,2005,0
Ohio,2005,3312
Oklahoma,2005,0
Oregon,2005,88162
Pennsylvania,2005,39
RhodeIsland,2005,91799
SouthCarolina,2005,16704
SouthDakota,2005,0
Tennessee,2005,0
Texas,2005,172337
Utah,2005,0
Vermont,2005,0
Virginia,2005,155262
Washington,2005,206514
WestVirginia,2005,0
Wisconsin,2005,2662
Wyoming,2005,0
Alabama,2006,49185
Alaska,2006,1342294
Arizona,2006,0
Arkansas,2006,0
California,2006,130083
Colorado,2006,0
Connecticut,2006,36892
Delaware,2006,5692
Florida,2006,192292
Georgia,2006,11533
Hawaii,2006,66780
Idaho,2006,0
Illinois,2006,0
Indiana,2006,0
Iowa,2006,0
Kansas,2006,0
Kentucky,2006,0
Louisiana,2006,255269
Maine,2006,361849
Maryland,2006,53581
Massachusetts,2006,437048
Michigan,2006,5977
Minnesota,2006,178
Mississippi,2006,21741
Missouri,2006,0
Montana,2006,0
Nebraska,2006,0
Nevada,2006,0
NewHampshire,2006,18844
NewJersey,2006,136053
NewMexico,2006,0
NewYork,2006,57728
NorthCarolina,2006,70121
NorthDakota,2006,0
Ohio,2006,4169
Oklahoma,2006,0
Oregon,2006,107524
Pennsylvania,2006,96
RhodeIsland,2006,98576
SouthCarolina,2006,17026
SouthDakota,2006,0
Tennessee,2006,0
Texas,2006,197291
Utah,2006,0
Vermont,2006,0
Virginia,2006,109071
Washington,2006,234407
WestVirginia,2006,0
Wisconsin,2006,3145
Wyoming,2006,0
Alabama,2007,48333
Alaska,2007,1494242
Arizona,2007,0
Arkansas,2007,0
California,2007,119740
Colorado,2007,0
Connecticut,2007,42079
Delaware,2007,7584
Florida,2007,167948
Georgia,2007,10081
Hawaii,2007,75690
Idaho,2007,0
Illinois,2007,0
Indiana,2007,0
Iowa,2007,0
Kansas,2007,0
Kentucky,2007,0
Louisiana,2007,259564
Maine,2007,319523
Maryland,2007,53339
Massachusetts,2007,417795
Michigan,2007,7501
Minnesota,2007,198
Mississippi,2007,39983
Missouri,2007,0
Montana,2007,0
Nebraska,2007,0
Nevada,2007,0
NewHampshire,2007,19093
NewJersey,2007,152550
NewMexico,2007,0
NewYork,2007,58971
NorthCarolina,2007,74399
NorthDakota,2007,0
Ohio,2007,3383
Oklahoma,2007,0
Oregon,2007,98882
Pennsylvania,2007,127
RhodeIsland,2007,76883
SouthCarolina,2007,15574
SouthDakota,2007,0
Tennessee,2007,0
Texas,2007,179502
Utah,2007,0
Vermont,2007,0
Virginia,2007,128525
Washington,2007,214270
WestVirginia,2007,0
Wisconsin,2007,3256
Wyoming,2007,0
